ID,Name,Address,X,Y,Country
1480,Fiesta Court Motel,,,,NZ
1487,Otorohanga & Waitomo Motels,,,,NZ
1565,Randolph Motel Apartments,,,,NZ
1573,Eden Gardens Motel,,,,NZ
1585,South Park Motel,,,,NZ
1611,Kaka Point Spa Motel At Catlins,,,,NZ
1616,eMotel,,,,NZ
1638,Riverside Motel,,,,NZ
1654,ASURE At Eden Park,,,,NZ
1698,Alpha Motel,,,,NZ
1724,Admirals View Lodge,,,,NZ
1731,Amble In,,,,NZ
1798,Falls Motel & Waterfront Campground,,,,NZ
1800,New Haven Motel,,,,NZ
1818,Beaches Motel,,,,NZ
1826,Ohiwa Beach Apartments/ Motel,,,,NZ
1829,Wairoa Motel,,,,NZ
1842,Bk's Counties Motor Lodge,,,,NZ
1846,Mountain View Motel Taupo,,,,NZ
1857,Cornwall Park Motel,,,,NZ
1859,Phoenix Motor Inn,,,,NZ
1860,Pineacres Motel and Park,,,,NZ
1861,Shortland Court Motel,,,,NZ
1863,Bella Vista Motel New Plymouth,,,,NZ
1864,Blenheim Spa Motor Lodge,,,,NZ
1867,Golflands Motel,,,,NZ
1873,Alexandra Heights Motel,,,,NZ
1887,Anchor Inn Motel,,,,NZ
1889,Hawks Inn Motel,,,,NZ
1896,Kerry Lane Motel,,,,NZ
1902,Gardena Court Motel,,,,NZ
1908,Bella Vista Motel Westport,,,,NZ
1910,Elmore Lodge Motel,,,,NZ
1919,Bayfield Motels,,,,NZ
1921,Hawera Central Motor Lodge,,,,NZ
1927,Spring Creek Motel,,,,NZ
1936,Belmont Motor Lodge,,,,NZ
1952,B-Ks Premier Motel Palmerston North,,,,NZ
1959,Kiwi Court Motel,,,,NZ
1961,PURE Motel and Guest House,,,,NZ
1962,Arena Court Motor Lodge,,,,NZ
1963,Beachside Villas Motel,,,,NZ
1966,Adelphi Motel,,,,NZ
1967,Middlemore Motel,,,,NZ
1981,Carisbrook Motel,,,,NZ
1991,Aaron Court Motor Inn,,,,NZ
1999,Arbor Motel,,,,NZ
2007,Almond Court Motel,,,,NZ
2013,ASURE Townsman Motor Lodge,,,,NZ
2014,Bay of Islands Gateway Motel,,,,NZ
2020,Colonial Cottage Motel,,,,NZ
2021,Commodore Motel,,,,NZ
2023,Airport Harbour View Motel,,,,NZ
2025,Boatshed Motel Apartments,,,,NZ
1602,Heartland Hotel Croydon,,,,NZ
1614,Rutherford Hotel Nelson - A Heritage Hotel,,,,NZ
1637,The Lumsden Hotel,,,,NZ
1706,Queenstown Park Boutique Hotel,,,,NZ
1771,The Old Oak Boutique Hotel,,,,NZ
1820,Clarence Boutique Hotel,,,,NZ
1877,The Kamo Hotel,,,,NZ
1880,Grand Hotel - Whangarei,,,,NZ
1894,Hotel Montreal,,,,NZ
1956,Wakatu Hotel,,,,NZ
2011,The Post Hotel,,,,NZ
2035,Garston Hotel & Cafe,,,,NZ
2194,The Narrows Landing Hotel,,,,NZ
2208,Briarwood Greytown Boutique Hotel,,,,NZ
2214,Tussock Grove Boutique Hotel,,,,NZ
2285,Karamea Village Hotel,,,,NZ
2309,Ikamatua Hotel,,,,NZ
2326,Nice Hotel,,,,NZ
2431,The Kentish Hotel,,,,NZ
2460,Black Swan Lakeside Boutique Hotel,,,,NZ
2495,Masonic Hotel,,,,NZ
2505,Browns Boutique Hotel,,,,NZ
2569,The Famous Grouse Hotel,,,,NZ
2643,Hamurana Lodge Boutique Hotel,,,,NZ
2676,Escape To Picton Boutique Hotel,,,,NZ
2729,Post Office Hotel,,,,NZ
2940,Eichardt's Private Hotel,,,,NZ
3008,Best Western Alpine Hotel,,,,NZ
3110,Gretna Hotel Taihape,,,,NZ
3683,Kaponga Hotel,,,,NZ
3692,Royal Mail Hotel,,,,NZ
3890,Empire Hotel,,,,NZ
3892,Feilding Hotel,,,,NZ
4653,Hidden Lake Hotel,,,,NZ
4670,Hotel D'urville Blenheim,,,,NZ
4745,Little Wanganui Hotel,,,,NZ
4840,Novotel Christchurch Airport,,,,NZ
5128,The Clyde Hotel,,,,NZ
5669,Auckland City Hotel,,,,NZ
5687,Capstone Hotels & Resorts,,,,NZ
5688,Cardrona Hotel,,,,NZ
5699,Countrytime Hotel,,,,NZ
5703,Distinction Dunedin Hotel,,,,NZ
5704,Distinction Fox Glacier Te Weheka Hotel,,,,NZ
5705,Duke of Marlborough Hotel,,,,NZ
5724,Heartland Hotel Cotswold,,,,NZ
5725,Heartland Hotel Fox Glacier,,,,NZ
5726,Heartland Hotel Glacier Country,,,,NZ
5727,Heartland World Heritage Hotel,,,,NZ
5731,Heritage Gateway Hotel Omarama,,,,NZ
5733,Hidden Lake Hotel and Apartments,,,,NZ
5737,Hotel St Clair,,,,NZ
5762,Marlborough Vintners Hotel,,,,NZ
5763,Martinborough Hotel,,,,NZ
5769,Millennium Hotel & Resort Manuels Taupo,,,,NZ
5784,Novotel Christchurch Cathedral Square,,,,NZ
5785,Novotel Queenstown Lakeside,,,,NZ
5823,Ramada Hotel & Suites Christchurch,,,,NZ
5824,Ramada Remarkables Hotel Queenstown,,,,NZ
5840,Sarin Hotels,,,,NZ
5841,Scenic Hotel Southern Cross,,,,NZ
5846,Sofitel Queenstown Hotel and Spa,,,,NZ
5860,The Executive Residence Boutique Hotel,,,,NZ
5864,The Henley Hotel Cambridge,,,,NZ
5867,The Mount Cook Hotel Collection,,,,NZ
5870,Thorndon Hotel Wellington by Rydges,,,,NZ
